Date,Timestamp,Open,High,Low,Close,Volume
20141211,21:00:00,119.522,119.541,119.065,119.065,4684.99000954628
20141211,22:00:00,119.066,119.351,119.04,119.074,5482.870013237
20141211,23:00:00,119.073,119.083,118.607,118.636,4256.57001190633
20141212,00:00:00,118.639,118.954,118.639,118.844,2965.75001101196
20141212,01:00:00,118.844,119.111,118.838,118.997,5221.18000030518
20141212,02:00:00,118.997,119.08,118.784,118.916,6715.09001708031
20141212,03:00:00,118.916,119.206,118.867,119.085,6020.78001320362
20141212,04:00:00,119.084,119.085,118.828,118.893,4431.68001055717
20141212,05:00:00,118.898,118.964,118.831,118.902,3076.37000691891
20141212,06:00:00,118.902,118.902,118.503,118.661,6513.19001114368
20141212,07:00:00,118.662,118.888,118.609,118.888,4396.50001335144
20141212,08:00:00,118.887,119.001,118.7,118.886,4903.14001190662
20141212,09:00:00,118.886,118.957,118.751,118.772,3668.68001019955
20141212,10:00:00,118.77,118.833,118.511,118.521,6408.14001703262
20141212,11:00:00,118.521,118.562,118.05,118.362,10339.0800322294
20141212,12:00:00,118.364,118.496,118.226,118.328,5962.1000187397
20141212,13:00:00,118.326,118.382,118.16,118.281,5455.3500161171
20141212,14:00:00,118.279,118.582,118.256,118.362,6384.51001656055
20141212,15:00:00,118.362,118.538,118.268,118.436,8438.7300286293
20141212,16:00:00,118.436,119.061,118.427,118.963,11877.0800508261
20141212,17:00:00,118.966,119.084,118.507,118.541,13568.2600544691
20141212,18:00:00,118.539,118.593,118.203,118.229,12537.490041852
20141212,19:00:00,118.231,118.524,118.227,118.406,7277.03001785278
20141212,20:00:00,118.403,118.723,118.365,118.7,4622.45000612736
20141212,21:00:00,118.699,118.782,118.612,118.764,4463.43000662327
20141212,22:00:00,118.764,118.768,118.574,118.651,4952.23001241684
20141212,23:00:00,118.649,118.829,118.628,118.736,2520.88000626862
20141215,00:00:00,118.66,118.684,118.16,118.225,4595.43998814374
